(c) Die Bundeswahlleiterin, Wiesbaden 2025;;;;;;;;;;;;;;;;
Datenlizenz Deutschland – Namensnennung – Version 2.0 (https://www.govdata.de/dl-de/by-2-0);;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Ergebnisse nach Wahlkreisen;;;;;;;;;;;;;;;;
Status:;Zwischenergebnis;;;;;;;;;;;;;;;
Stand:;23.02.2025;23:56;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Format: CSV. Trennzeichen: Semikolon. Zeichensatz: UTF-8 mit BOM;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Wahlart;Wahltag;Gebietsart;Gebietsnummer;Gebietsname;UegGebietsart;UegGebietsnummer;Gruppenart;Gruppenname;Gruppenreihenfolge;Stimme;Anzahl;Prozent;VorpAnzahl;VorpProzent;DiffProzent;DiffProzentPkt;Bemerkung;Gewählt
BT;23.02.2025;Bund;99;Bundesgebiet;;;System-Gruppe;Wahlberechtigte;-4;;48227119;;48791127;;-1,155964;;;
BT;23.02.2025;Bund;99;Bundesgebiet;;;System-Gruppe;Wählende;-3;;39842986;82,615314;37298192;76,444621;6,822835;6,170694;;
BT;23.02.2025;Bund;99;Bundesgebiet;;;System-Gruppe;Ungültige;-2;1;337078;0,846016;395864;1,061349;-14,85005;-0,215333;;
BT;23.02.2025;Bund;99;Bundesgebiet;;;System-Gruppe;Ungültige;-2;2;226851;0,569362;327085;0,876946;-30,644634;-0,307584;;
BT;23.02.2025;Bund;99;Bundesgebiet;;;System-Gruppe;Gültige;-1;1;39505908;99,153984;36902328;98,938651;7,055327;0,215333;;
BT;23.02.2025;Bund;99;Bundesgebiet;;;System-Gruppe;Gültige;-1;2;39616135;99,430638;36971107;99,123054;7,154311;0,307584;;
BT;23.02.2025;Bund;99;Bundesgebiet;;;Partei;SPD;1;1;7993683;20,234146;9813995;26,594515;-18,548124;-6,360369;;
BT;23.02.2025;Bund;99;Bundesgebiet;;;Partei;SPD;1;2;6546007;16,523588;9568558;25,881178;-31,588365;-9,35759;;
BT;23.02.2025;Bund;99;Bundesgebiet;;;Partei;CDU;2;1;9495985;24,036873;7949370;21,541649;19,455819;2,495224;;
BT;23.02.2025;Bund;99;Bundesgebiet;;;Partei;CDU;2;2;8461244;21,358075;6649359;17,985285;27,249018;3,37279;;
BT;23.02.2025;Bund;99;Bundesgebiet;;;Partei;GRÜNE;3;1;4208781;10,653548;4952844;13,421495;-15,022944;-2,767946;;
BT;23.02.2025;Bund;99;Bundesgebiet;;;Partei;GRÜNE;3;2;4505115;11,37192;5305064;14,349216;-15,07897;-2,977296;;
BT;23.02.2025;Bund;99;Bundesgebiet;;;Partei;FDP;4;1;1262116;3,194753;3119764;8,454112;-59,544504;-5,259359;;
BT;23.02.2025;Bund;99;Bundesgebiet;;;Partei;FDP;4;2;1684343;4,251659;4119867;11,143478;-59,116569;-6,891818;;
BT;23.02.2025;Bund;99;Bundesgebiet;;;Partei;AfD;5;1;8093872;20,487751;3740748;10,136889;116,370416;10,350862;;
BT;23.02.2025;Bund;99;Bundesgebiet;;;Partei;AfD;5;2;8217156;20,741943;3846490;10,404043;113,627385;10,337899;;
BT;23.02.2025;Bund;99;Bundesgebiet;;;Partei;CSU;6;1;3271730;8,281622;2788048;7,555209;17,34841;0,726413;;
BT;23.02.2025;Bund;99;Bundesgebiet;;;Partei;CSU;6;2;2963732;7,481124;2402827;6,499202;23,343545;0,981921;;
BT;23.02.2025;Bund;99;Bundesgebiet;;;Partei;Die Linke;7;1;3140028;7,948249;1803047;4,885998;74,151201;3,062251;;
BT;23.02.2025;Bund;99;Bundesgebiet;;;Partei;Die Linke;7;2;3462169;8,73929;1786122;4,831129;93,837207;3,908161;;
BT;23.02.2025;Bund;99;Bundesgebiet;;;Partei;FREIE WÄHLER;8;1;1048482;2,653988;1161306;3,146972;-9,715269;-0,492984;;
BT;23.02.2025;Bund;99;Bundesgebiet;;;Partei;FREIE WÄHLER;8;2;666406;1,682158;997498;2,698047;-33,192247;-1,015889;;
BT;23.02.2025;Bund;99;Bundesgebiet;;;Partei;Tierschutzpartei;9;1;59331;0,150183;106863;0,289583;-44,47938;-0,139401;;
